"","gname","country_txt","iyear","imonth","iday","country","region","region_txt","attacktype1","attacktype1_txt","targtype1","targtype1_txt","weaptype1","weaptype1_txt","nkill","nwound"
"2045","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,6,26,228,10,"Middle East & North Africa",3,"Bombing/Explosion",2,"Government (General)",6,"Explosives/Bombs/Dynamite",0,0
"2046","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,12,12,228,10,"Middle East & North Africa",9,"Unknown",4,"Military",13,"Unknown",NA,NA
"2047","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,8,23,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",3,6
"2048","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,7,25,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",6,"Explosives/Bombs/Dynamite",4,4
"2049","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,7,5,228,10,"Middle East & North Africa",2,"Armed Assault",4,"Military",5,"Firearms",1,4
"2050","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,8,3,228,10,"Middle East & North Africa",9,"Unknown",3,"Police",13,"Unknown",0,1
"2051","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,6,11,228,10,"Middle East & North Africa",3,"Bombing/Explosion",20,"Unknown",6,"Explosives/Bombs/Dynamite",0,0
"2052","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,7,27,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",4,3.67
"2053","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2011,12,9,228,10,"Middle East & North Africa",3,"Bombing/Explosion",21,"Utilities",6,"Explosives/Bombs/Dynamite",0,0
"2054","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,4,30,228,10,"Middle East & North Africa",9,"Unknown",4,"Military",13,"Unknown",15,0
"2055","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,8,9,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",0,0
"2056","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,4,12,228,10,"Middle East & North Africa",6,"Hostage Taking (Kidnapping)",3,"Police",5,"Firearms",1,0
"2057","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,8,7,228,10,"Middle East & North Africa",3,"Bombing/Explosion",2,"Government (General)",6,"Explosives/Bombs/Dynamite",0,0
"2058","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2011,8,27,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",5,"Firearms",8,6
"2059","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,8,1,228,10,"Middle East & North Africa",9,"Unknown",4,"Military",13,"Unknown",1,NA
"2060","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2014,12,29,228,10,"Middle East & North Africa",1,"Assassination",2,"Government (General)",5,"Firearms",1,0
"2061","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2011,4,28,228,10,"Middle East & North Africa",2,"Armed Assault",2,"Government (General)",5,"Firearms",0,2
"2062","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2011,8,17,228,10,"Middle East & North Africa",9,"Unknown",14,"Private Citizens & Property",13,"Unknown",0,0
"2063","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,3,16,228,10,"Middle East & North Africa",3,"Bombing/Explosion",4,"Military",6,"Explosives/Bombs/Dynamite",0,2
"2064","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2012,9,27,228,10,"Middle East & North Africa",3,"Bombing/Explosion",2,"Government (General)",6,"Explosives/Bombs/Dynamite",3,0
"2065","Al-Qa`ida in the Arabian Peninsula (AQAP)","Yemen",2013,12,31,228,10,"Middle East & North Africa",3,"Bombing/Explosion",3,"Police",6,"Explosives/Bombs/Dynamite",0,0
